algorithm,dimension,filename,clusters,linkage,n_clusters,n_noise,noise_ratio,cluster_size_mean,cluster_size_std,cluster_size_min,cluster_size_max,normalized_entropy,eps,samples,size
agglomerative,128,agglomerative_d128_n_clusters-10_linkage-average.csv,10.0,average,10,0,0.0,100.0,282.53102091235536,6,904,0.2256116591310572,,,
agglomerative,128,agglomerative_d128_n_clusters-10_linkage-ward.csv,10.0,ward,10,0,0.0,100.0,123.69137219529725,7,353,0.7286886597769265,,,
agglomerative,128,agglomerative_d128_n_clusters-15_linkage-average.csv,15.0,average,15,0,0.0,66.66666666666667,155.60649392740956,6,599,0.5208702422793259,,,
agglomerative,128,agglomerative_d128_n_clusters-15_linkage-ward.csv,15.0,ward,15,0,0.0,66.66666666666667,101.42250149510123,7,353,0.7162885389049078,,,
agglomerative,128,agglomerative_d128_n_clusters-5_linkage-average.csv,5.0,average,5,0,0.0,200.0,427.09893467439133,7,964,0.12625413653604642,,,
agglomerative,128,agglomerative_d128_n_clusters-5_linkage-ward.csv,5.0,ward,5,0,0.0,200.0,146.7702285887707,22,353,0.8392873005120786,,,
agglomerative,16,agglomerative_d16_n_clusters-10_linkage-average.csv,10.0,average,10,0,0.0,100.0,269.6977732368009,6,867,0.28527683194697356,,,
agglomerative,16,agglomerative_d16_n_clusters-10_linkage-ward.csv,10.0,ward,10,0,0.0,100.0,120.58376526068692,8,308,0.7361175471270108,,,
agglomerative,16,agglomerative_d16_n_clusters-15_linkage-average.csv,15.0,average,15,0,0.0,66.66666666666667,151.81316838547994,6,571,0.5237251089247336,,,
agglomerative,16,agglomerative_d16_n_clusters-15_linkage-ward.csv,15.0,ward,15,0,0.0,66.66666666666667,79.27318648343899,6,293,0.8023269152914496,,,
agglomerative,16,agglomerative_d16_n_clusters-5_linkage-average.csv,5.0,average,5,0,0.0,200.0,413.705209055917,8,940,0.19034253561081046,,,
agglomerative,16,agglomerative_d16_n_clusters-5_linkage-ward.csv,5.0,ward,5,0,0.0,200.0,262.5690385403428,12,619,0.5854505505908134,,,
agglomerative,256,agglomerative_d256_n_clusters-10_linkage-average.csv,10.0,average,10,0,0.0,100.0,200.84598853626903,6,628,0.4786628255876055,,,
agglomerative,256,agglomerative_d256_n_clusters-10_linkage-ward.csv,10.0,ward,10,0,0.0,100.0,120.85804345043265,7,306,0.725825911173593,,,
agglomerative,256,agglomerative_d256_n_clusters-15_linkage-average.csv,15.0,average,15,0,0.0,66.66666666666667,152.32515347424527,6,580,0.5263473674300885,,,
agglomerative,256,agglomerative_d256_n_clusters-15_linkage-ward.csv,15.0,ward,15,0,0.0,66.66666666666667,72.32927353101101,7,280,0.8330626280938775,,,
agglomerative,256,agglomerative_d256_n_clusters-5_linkage-average.csv,5.0,average,5,0,0.0,200.0,419.8541413395847,7,951,0.16101338985300084,,,
agglomerative,256,agglomerative_d256_n_clusters-5_linkage-ward.csv,5.0,ward,5,0,0.0,200.0,271.5870026345149,8,638,0.5556214628213442,,,
agglomerative,2,agglomerative_d2_n_clusters-10_linkage-average.csv,10.0,average,10,0,0.0,100.0,153.42823150327393,7,519,0.6923162367990222,,,
agglomerative,2,agglomerative_d2_n_clusters-10_linkage-ward.csv,10.0,ward,10,0,0.0,100.0,96.66091936937768,14,274,0.8290239594916623,,,
agglomerative,2,agglomerative_d2_n_clusters-15_linkage-average.csv,15.0,average,15,0,0.0,66.66666666666667,90.78205192867668,6,349,0.7713034182915551,,,
agglomerative,2,agglomerative_d2_n_clusters-15_linkage-ward.csv,15.0,ward,15,0,0.0,66.66666666666667,61.319615443145416,12,213,0.8681947122485955,,,
agglomerative,2,agglomerative_d2_n_clusters-5_linkage-average.csv,5.0,average,5,0,0.0,200.0,262.9372548727167,7,627,0.5805766042892079,,,
agglomerative,2,agglomerative_d2_n_clusters-5_linkage-ward.csv,5.0,ward,5,0,0.0,200.0,141.74448842900384,26,320,0.845028524674331,,,
agglomerative,32,agglomerative_d32_n_clusters-10_linkage-average.csv,10.0,average,10,0,0.0,100.0,269.6977732368009,6,867,0.28527683194697356,,,
agglomerative,32,agglomerative_d32_n_clusters-10_linkage-ward.csv,10.0,ward,10,0,0.0,100.0,135.88720812988004,7,398,0.6875856302518051,,,
agglomerative,32,agglomerative_d32_n_clusters-15_linkage-average.csv,15.0,average,15,0,0.0,66.66666666666667,149.10957939269585,6,586,0.5650564129225811,,,
agglomerative,32,agglomerative_d32_n_clusters-15_linkage-ward.csv,15.0,ward,15,0,0.0,66.66666666666667,90.8866379198887,6,298,0.7452270341977233,,,
agglomerative,32,agglomerative_d32_n_clusters-5_linkage-average.csv,5.0,average,5,0,0.0,200.0,418.17460468086773,6,948,0.1692493534801158,,,
agglomerative,32,agglomerative_d32_n_clusters-5_linkage-ward.csv,5.0,ward,5,0,0.0,200.0,169.05768246370823,12,398,0.7744225244706539,,,
agglomerative,4,agglomerative_d4_n_clusters-10_linkage-average.csv,10.0,average,10,0,0.0,100.0,190.4789285517488,7,609,0.5432372176926981,,,
agglomerative,4,agglomerative_d4_n_clusters-10_linkage-ward.csv,10.0,ward,10,0,0.0,100.0,110.44757429055048,8,290,0.7637698242392488,,,
agglomerative,4,agglomerative_d4_n_clusters-15_linkage-average.csv,15.0,average,15,0,0.0,66.66666666666667,138.1157209768402,6,531,0.602246027860376,,,
agglomerative,4,agglomerative_d4_n_clusters-15_linkage-ward.csv,15.0,ward,15,0,0.0,66.66666666666667,68.15807956158837,6,191,0.8272537969082133,,,
agglomerative,4,agglomerative_d4_n_clusters-5_linkage-average.csv,5.0,average,5,0,0.0,200.0,286.52486803068246,8,668,0.5073133600632218,,,
agglomerative,4,agglomerative_d4_n_clusters-5_linkage-ward.csv,5.0,ward,5,0,0.0,200.0,181.59019797334878,32,473,0.7930028737353416,,,
agglomerative,64,agglomerative_d64_n_clusters-10_linkage-average.csv,10.0,average,10,0,0.0,100.0,273.2137949990406,6,877,0.26689893127275427,,,
agglomerative,64,agglomerative_d64_n_clusters-10_linkage-ward.csv,10.0,ward,10,0,0.0,100.0,138.53760019094696,7,451,0.7004690172470046,,,
agglomerative,64,agglomerative_d64_n_clusters-15_linkage-average.csv,15.0,average,15,0,0.0,66.66666666666667,109.9055871884505,6,386,0.6640541319954049,,,
agglomerative,64,agglomerative_d64_n_clusters-15_linkage-ward.csv,15.0,ward,15,0,0.0,66.66666666666667,68.53848414959153,6,215,0.8256440770517592,,,
agglomerative,64,agglomerative_d64_n_clusters-5_linkage-average.csv,5.0,average,5,0,0.0,200.0,420.42537982381606,7,952,0.1574070102645336,,,
agglomerative,64,agglomerative_d64_n_clusters-5_linkage-ward.csv,5.0,ward,5,0,0.0,200.0,174.59810995540587,34,451,0.7911890939819455,,,
agglomerative,8,agglomerative_d8_n_clusters-10_linkage-average.csv,10.0,average,10,0,0.0,100.0,266.8982327904527,6,859,0.29875175524921754,,,
agglomerative,8,agglomerative_d8_n_clusters-10_linkage-ward.csv,10.0,ward,10,0,0.0,100.0,127.46851463095592,8,355,0.7170790184194069,,,
agglomerative,8,agglomerative_d8_n_clusters-15_linkage-average.csv,15.0,average,15,0,0.0,66.66666666666667,145.27936962313416,6,558,0.5615373248536508,,,
agglomerative,8,agglomerative_d8_n_clusters-15_linkage-ward.csv,15.0,ward,15,0,0.0,66.66666666666667,75.79075204296429,7,280,0.8120351128990974,,,
agglomerative,8,agglomerative_d8_n_clusters-5_linkage-average.csv,5.0,average,5,0,0.0,200.0,408.677745907457,8,931,0.21293175512208887,,,
agglomerative,8,agglomerative_d8_n_clusters-5_linkage-ward.csv,5.0,ward,5,0,0.0,200.0,173.89508331174864,20,423,0.772138072825656,,,
dbscan,128,dbscan_d128_eps-0.3_min_samples-10.csv,,,35,485,0.485,14.714285714285714,5.560212800473973,10,36,0.9835846908485405,0.3,10.0,
dbscan,128,dbscan_d128_eps-0.3_min_samples-5.csv,,,78,81,0.081,11.782051282051283,7.028046662724992,5,40,0.9666866992904567,0.3,5.0,
dbscan,128,dbscan_d128_eps-0.5_min_samples-10.csv,,,38,196,0.196,21.157894736842106,10.004124327305602,10,42,0.9717878406735967,0.5,10.0,
dbscan,128,dbscan_d128_eps-0.5_min_samples-5.csv,,,57,18,0.018,17.228070175438596,11.393948180408959,5,43,0.9518796326369401,0.5,5.0,
dbscan,128,dbscan_d128_eps-0.7_min_samples-10.csv,,,35,121,0.121,25.114285714285714,15.853690289592494,10,69,0.9519316110946529,0.7,10.0,
dbscan,128,dbscan_d128_eps-0.7_min_samples-5.csv,,,46,12,0.012,21.47826086956522,18.73409147983641,5,87,0.9206151498516241,0.7,5.0,
dbscan,16,dbscan_d16_eps-0.3_min_samples-10.csv,,,40,390,0.39,15.25,5.803403068845657,10,36,0.9829966021139037,0.3,10.0,
dbscan,16,dbscan_d16_eps-0.3_min_samples-5.csv,,,76,69,0.069,12.25,7.973497768650009,5,42,0.9605300557823618,0.3,5.0,
dbscan,16,dbscan_d16_eps-0.5_min_samples-10.csv,,,38,221,0.221,20.5,10.197376451150879,10,50,0.9697797582501483,0.5,10.0,
dbscan,16,dbscan_d16_eps-0.5_min_samples-5.csv,,,60,20,0.02,16.333333333333332,14.068436443144714,5,78,0.9338279920911965,0.5,5.0,
