Name,cluster
Лампа комактна люмінісцентна 2G7 11W/840 DULUX S/Е Osram 4050300020181,-1
Клемна колодка в корпусі Аско ТВ 1504 A0130050002,0
Лампа TV Osram Е14 25W T-25 синя,1
Лампа для холодильника РП Іскра Е14 230B 15W S25 прозора,1
Лампа для духовки Osram SPC.T OVEN CL 15W 230V E14 прозора,1
"Лампа LED E14 Lezard 30000h свіча 7,0W/2700 B35 N427-B35-1407",-1
"Лампа LED E27 Feron 50000h шар 6,0W/2700 G45 LB-745 5028",-1
Перемикач DIN I-0-II 2-полюсний ETI SSQ 240 40А 002421425,-1
Коробка для 3-фазного електронного лічильника IP54 КДЕ-У (8 модулiв),0
Вимикач ножний E.Next e.fs.01 пластиковий p0810151,0
"F конектор для кабелю RG-6, накрутний FF-1 D=6.6мм",0
"Диференційне реле 4-полюсне Hager CD464J AC-63/0,03А",-1
Вилка 3п з ричагом Legrand 16А 50175 біла,0
Реле напруги 1-фазне в розетку ZUBR R116y 16А,0
Перемикач DIN I-0-II 2-полюсний ETI SSQ 240 40А 002421425,-1
Вилка із заземлюючим контактом Legrand 50196 чорна,0
Вилка кабельна 400V IP44 Sez 5 полюсів 32А IVN3253,1
Контактор безшумний 230V Hager ESC225S 25A 2но,1
Кріплення для труб APRO 25мм / уп.50 шт,-1
Вилка 380V каучукова IP44 Lezard 3P+N 32А 332-0100-0201 чорна,1
Розетка 380V каучукова IP44 Lezard 3P+N 32А 332-0100-0203 чорна,1
Перемикач I-0-II 230V 1-полюсний Hager SFT140 40А вихід зверху,-1
Перемикач I-0-II 230V 1-полюсний Hager SFB125 25А вихід знизу,-1
Перемикач I-0-II 230V 2-полюсний Hager SFB216 16А вихід знизу (Перемикач вводу резерву),1
Перемикач I-0-II 230V 2-полюсний Hager SFB216 16А вихід знизу (Перемикач вводу резерву),1
Перемикач клавішний KCD1-5-101N GR/B круглий з підсвіткою зелений АСКО-УКРЕМ A0140040072,0
Перемикач DIN I-0-II 2-полюсний E.Next e.is3.pro.2.40 40А p008024,0
Контактор 220V/АС3 ІЕК КМИ-11210 12А 1нв KKM11-012-230-10,1
"Шина з'єднувальна E.Next e.bc.u.stand.2.63 вилочного U-типу 2р, 63А  s180002",0
Мікровимикач Аско Z-15GQ22-B A0050040001,0
Корпус щита розподільний зовнішній IP40 ETI DIDO-E ECT 12PO 1101006 біла дверка,0
Контактор DIN AC УЕК КМ20-20М MKK11-20-20,-1
Роз’єм модульний до РЭК78/3 УЕК РРМ78/3 RRP20D-RRM-3,0
"Диференційне реле 2-полюсне Hager CD263J A-63/0,03А",-1
Контактор 230V Hager ESC464 63A 4нз,1
Перемикач I-0-II 230V 2-полюсний Hager SFB216 16А вихід знизу (Перемикач вводу резерву),1
Тримач клем QuickConnect Hager VZ707N до щитів Golf VF/VS 12 модулів,-1
Перемикач I-0-II 230V 2-полюсний Hager SFB216 16А вихід знизу (Перемикач вводу резерву),1
Реле проміжне 230V AC 10А E.Next e.control.p1036 i.ly3.230ac,-1
Роз’єм модульний до реле ly3 10А E.Next e.control.p103s i.ptf.11a,-1
Роз’єм модульний до реле ly4 10А E.Next e.control.p104s i.ptf.14a,-1
Реле проміжне 230V AC 10А E.Next e.control.p1046 i.ly4.230ac,-1
Лампа розжарювання МО Е27 40W/ 12V,1
Перемикач DIN I-0-II 4-полюсний E.Next e.is3.pro.4.40 40А p008025,-1
Перемикач DIN I-0-II 2-полюсний ETI SSQ 240 40А 002421425,-1
Розетка із заземлюючим контактом SHUKO на DIN-рейку Schneider A9A15310 16A 250V,1
Індикатор модульний LED Hager SVN121 зелений,-1
Корпус зовнішній димчасті дверки Golf IP40/II Hager VS108TD 8 модулів ніша 184*210*99,-1
Тримач з клемами 16*N+14*PE/4*N+4*PE Hager VZ462 до щитів Volta,0
Лампа для холодильника РП Іскра Е14 230B 15W S25 прозора,1
Реле часу аналогове DIN AC/DC 12-240 ETI CRM-2H UNI 1 модульне 2470003,1
Розетка із заземлюючим контактом DIN E.Next s004002 e.socket.pro.din.tms 230V,1
Перемикач DIN I-0-II 2-полюсний E.Next e.is3.pro.2.40 40А p008024,-1
Кнопка поворотна XB2-BJ33 3-х позиційна подовжена ручка АСКО-УКРЕМ A0140010007,0
"Індикатор-викрутка E.Next e.tool.test02 140х3,5 прямий шліц АС100-500В t001102",0
"Корпус E.Next e.mbox.stand.w.f3.36.z.e металевий, під 3-ф. електронний лічильник, 36 мод., що вбудовується, з замком",0
Корпус щита пластиковий IP20 з кришкою 1-2 модулі,0
Корпус щита пластиковий Білмакс IP20 без кришки 3-4 модулі,0
Шина DIN оцинкована УЕК L-10 см YDN10-00100-U,0
"Наклейка трикутна 85*85*85мм УЕК ""блискавка"" YPC30-MOLNI-3-096",0
"Наклейка трикутна 100*100*100мм УЕК ""Блискавка"" YPC30-MOLNI-4-096",0
"Наклейка 40*20мм УЕК ""220В"" YPC10-0220V-1-100",0
Колодка клемна з кришкою E.Next e.tc.protect.15.12 p056005 15А 12 полюсів,0
Коробка розподільна IP55 Spelsberg 332-912 I12-L 85*85*37 сіра 33291201,0
Клемна колодка в корпусі Аско ТВ 1505 A0130050003,0
Клемна колодка в корпусі Аско ТВ 1504 A0130050002,0
Патрон люстровий з гайкою E.Next Е27 s9100007 пластиковий чорний,-1
Патрон люстровий з гайкою E.Next e.lamp socket with nut.E27.pl.white Е27 s9100016 білий,-1
Викрутка-пробник електронна УЕК ОП-2е TPR20,-1
Перемикач DIN I-0-II 2-полюсний ETI SSQ 240 40А 002421425,-1
"OLFLEX HEAT 180 SiF провід силіконовий термостійкий 4,0",-1
Реле часу багатофункціональне AC230 (таблетка) ETI SMR-T 2470004 (в монтажну коробку),1
Лампа компактна Osram G23 11W/840 DULUX S,-1
Корпус зовнішній без дверок Volta IP30/II Hager VA48CN (VA48B) 48(56) модулів,0
Таймер DIN добовий Hager інтервал 15 хвилин 16А 1 модульний EH010 (1нв) кварцевий генератор,0
Блок PE-клем Hager KN26E,-1
Блок N-клем Hager KN26N,-1
Лампа ртутно-вольфрамова Delux Е40 250W GYZ 10007874,1
Лічильник 3 фазний 5- 60А електронний активної енергії NIK-2301 AP2.0000.0.11 (АП2),-1
Корпус зовнішній прозора дверка Vector IP65/II Hager VE212DN 24 модулів 310*427*151,-1
Вимикач автоматичний 1-полюсний RESI9 Schneider 6kA R9F12120 C 20А,0
Тримач клем QuickConnect Hager VZ708N до щитів Golf VF/VS 18/22 модулі,-1
Тримач клем QuickConnect Hager VZ707N до щитів Golf VF/VS 12 модулів,-1
Роз’єм модульний до реле ly4 10А E.Next e.control.p104s i.ptf.14a,-1
Лампа розжарювання МО Е27 40W/ 12V,1
Накладка резинова для конектора 8р8с RJ45,0
Конектор 8р8с 5 категорії RJ45,0
Вита пара c.5е кабель імпортний UTP (CCA) 4PR 24AWG,-1
Корпус щита пластиковий IP20 з кришкою 1-2 модулі,0
Перемикач клавішний KCD2-201N GR/B з підсвіткою зелений АСКО-УКРЕМ A0140040102,0
Патрон люстровий з гайкою E.Next e.lamp socket with nut.E27.pl.white Е27 s9100016 білий,-1
Коробка розподільна IP55 Schneider IMT35090 70*70*40,0
Корпус щита пластиковий зовнішній IP65 ETI ECH 12PT 1101062 прозора горизонтальна дверка,0
Розетка 380V настінна IP44 УЕК 4 полюси 16А ССИ-114 PSR12-016-4-U,1
Корпус щита пластиковий зовнішній IP65 ETI ECH 12PT 1101062 прозора горизонтальна дверка,0
Перемикач клавішний KCD1-2-101N R/B з підсвіткою червоний АСКО-УКРЕМ A0140040053,0
Перемикач клавішний KCD2-2101N R/B з підсвіткою червоний АСКО-УКРЕМ A0140040109,0
Перемикач клавішний KCD3-101N R/B з підсвіткою червоний АСКО-УКРЕМ A0140040027,0
Перемикач клавішний KCD2-3101N R/B з підсвіткою червоний АСКО-УКРЕМ A0140040120,0
Контактор 230V Hager ESC125 25A 1нв,1
"Вимикач автоматичний 1-полюсний E.Next 4,5кА s002008 16A e.mcb.stand.45.1.C16",0
Колодка клемна полістирольна подільна УЕК 12*16 ЗВИ-30А негорюча біла UZV2-030-10,0
Реле проміжне 230V AC 5А E.Next e.control.p536 i.my3.230ac,-1
Корпус щита пластиковий IP20 K-7,0
"Вимикач автоматичний 2-полюсний УЕК 4,5кА ВА 47- 29М C 20А MVA21-2-020-C",0
Вимикач автоматичний 2-полюсний Hager 6kA MC240A C 40A,-1
"Спіральна обв'язка E.Next e.spiral.stand.6.black, 4-50 мм, 10м, чорна  s2038011",-1
Індикатор модульний LED УЕК ЛС-47М жовтий MLS20-230-K05,-1
Розетка модульна 16А Hager SN016,0
Кріплення для труб 20мм/пакунок 100шт,-1
Корпус пластиковий зовнішній IP41 УЕК білий ЩРН-П-12 MKP12-N-12-40-10,0
Розетка із заземлюючим контактом SHUKO на DIN-рейку Schneider A9A15310 16A 250V,1
Патрон люстровий з гайкою E.Next e.lamp socket with nut.E27.pl.white Е27 s9100016 білий,-1
Клемна колодка в корпусі Аско ТВ 4504 A0130050018,0
"Лампа галогенова капсульна 12V Philips GY6,35 20W 13104 Caps.line(uv)",1
Лічильник трифазний E.Next e.control.w05 10(100)А електронний клас 1.0 (некомер) i0310032,0
"Клема з’єднувальна з пастою Wago 2273-248 8*0,5-2,5 кв.мм прозора/біла (для монолітних проводів)",0
"Клема з’єднувальна з пастою Wago 2273-242 2*0,5-2,5 кв.мм прозора/біла (для монолітних проводів)",0
Перемикач I-0-II 230V 1-полюсний Hager SFB116 16А вихід знизу,1
"Шина ""N"" DIN-iзольована E.Next p0650013 e.bsi.pro.2.10 (10 відгалужень)",0
Шина DIN оцинкована УЕК L- 60 см YDN10-0060,0
"Корпус E.Next e.mbox.stand.n.06.z металевий, під 6 мод., навісний, з замком  s0100019",0
"Датчик руху 1100W(600VA) 12м IP44 УЕК ДД 012 чорний 180"" LDD10-012-1100-002",0
Кріплення для труб 16мм/пакунок 100шт,-1
Трубка ПВХ гофрована з протяжкою 320N Kopos D 16/1416E D K50D сiра,0
Корпус щита пластиковий IP20 з кришкою 1-2 модулі,0
Перемикач клавішний KCD1-2-101N R/B з підсвіткою червоний АСКО-УКРЕМ A0140040053,0
Перемикач клавішний KCD1-101 Grey/Grey сірий АСКО-УКРЕМ A0140040051,0
Вимикач автоматичний 1-полюсний Hager 6kA MC116A C 16A,-1
Розетка із заземлюючим контактом SHUKO на DIN-рейку Schneider A9A15310 16A 250V,1
Контактор 230V Hager ESC425 25A 4нв,1
Лічильник 1 фазний 5- 60А електронний активної енергії НІК 2102-02 1кл. 220В M1,-1
Пост Аварійний стоп Аско IP65 XAL-J174 A0140020010,0
Реле сутінкове Euroelectric 10A IP44 ST-312 біле,1
Вимикач автоматичний 2-полюсний Hager 6kA MC263A C 63A,-1
Вилка 220V кабельна IP44 УЕК 3 полюси 16А ССИ-013 PSR01-016-3-U,1
Блок PE-клем Hager KN18E,-1
Корпус зовнішній димчасті дверки Golf IP40/II Hager VS312TD 3*12 модулів ніша 500*282*99,-1
"Затискач проколюючий вітчизняний ЗПАм (магiстраль 10-95 / вiдгалудження 1,5-10)",-1
"Лампа галогенова капсульна 12V Osram GY6,35 20W 64427S Halostar Starlit",1
Контактор 230V Hager ESC464 63A 4нз,1
Перемикач I-0-II 230V 2-полюсний Hager SFB216 16А вихід знизу (Перемикач вводу резерву),1
"Реле тимчасового ввімкнення (0,3-30 сек) при подачі напруги E.Next e.control.t16 i0310028",0
Вимикач кнопочний 230V Hager SVN413 16А 1нв зелений індикатор,1
"Диференційний автомат 2-полюсний 6kA Hager AC966J C A-16/0,01А",0
Тримач запобіжника 1-полюсний ETI PLNV-00/1A M8-M8 1701021,0
Запобіжник 120kA 500V gl/gG ETI NH1 Kombi 250А 4184219,1
Датчик руху інфрачервоний Е27 IP20 E.Next e.sensor.pir.451.e27.white s061020 білий,-1
Індикатор модульний LED Hager SVN121 зелений,-1
Корпус пластиковий зовнішній IP65 УЕК ЩМПп 300*200*130 УХЛ1 MKP93-N-302013-65-U,0
Контакт стану 220V 6А DIN УЕК КС-47(OF) MVA00D-KS-1,1
"ШВВП провід вітчизняний 2*0,5",-1
Домовент вентилятор без решітки 100 ВКО,0
"Диференційний автомат 2-полюсний 6кА Hager AD990J C A-40/0,03А",0
"Диференційний автомат 2-полюсний 6кА Hager AD982J C A-32/0,03А",0
"Диференційний автомат 2-полюсний 6кА Hager AD960J C A-10/0,03А",0
Бокс зовнішній Білмакс IP31 БМ- 40С 250*400*140,0
Лампа для холодильника РП Іскра Е14 230B 15W S25 прозора,1
Лампа для духовки Osram SPC.T OVEN CL 15W 230V E14 прозора,1
Індикатор модульний LED УЕК ЛС-47М жовтий MLS20-230-K05,-1
Шина Hager з’єднувальна вилочна 2-полюсний 57 модулів 10 мм.кв. FORK KDN263B,-1
Тримач з клемами 11*N+11*PE/3*N+3*PE Hager VZ461 до щитів Volta,0
Блок фазних клем Hager KN22P,-1
Блок фазних клем Hager KN18P,-1
"Вимикач автоматичнийдля захисту двигуна 3-полюсний ETI MS25-10 (6,3-10) 4600100",0
"Корпус E.Next e.mbox.stand.n.48.z металевий, під 48 мод., навісний, з замком  s0100124",0
Реле проміжне 12V DC 10A УЕК РЭК77/3 RRP10-3-10-012D-U,-1
Перемикач I-0-II 230V 2-полюсний Hager SFB216 16А вихід знизу (Перемикач вводу резерву),1
"Вимикач автоматичний 1-полюсний E.Next 4,5кА s002008 16A e.mcb.stand.45.1.C16",0
Перемикач I-0-II 230V 1-полюсний Hager SFB116 16А вихід знизу,1
Лічильник 3 фазний 5-120А електронний активної енергії NIK-2301 AP3.0000.0.11 (АП3),-1
Вимикач-роз‘єднувач 3-полюсний Коренево ВР32-31 100А/1 В31250-32 УХЛЗ,0
Запобіжник 400V ETI CH 8*32 gG 10А 2610007,1
"Сигнальний кабель 6х0.22 біметал, неекранований Alarm Cable",-1
Конектор 8р8с 5 категорії екранований RJ45,0
Реле проміжне 230V AC 10А E.Next e.control.p1046 i.ly4.230ac,-1
Вимикач автоматичний 1-полюсний Hager 6kA MB116A B 16A,0
"Корпус E.Next e.mbox.stand.n.f1.12.z.e металевий, під 1-ф. електронний лічильник, 12 мод., навісний, з замком",0
Наконечник УЕК мідний луджений 10/ 6 JG-10 UNP40-010-06-06,0
"Вимикач автоматичний 2-п С 63А 4,5кА EASY9 230В Schneider EZ9F34263",0
Гільза УЕК алюмінієва 25 GL-25 UGL10-025-07-U,-1
Наконечник УЕК мідний луджений 25/ 8 JG-25 UNP40-025-07-08,0
Наконечник УЕК мідний луджений 16/ 8 JG-16 UNP40-016-06-08,0
Блок PE-клем Hager KN22E,-1
Блок N-клем Hager KN22N,-1
