algorithm,dimension,n_clusters,silhouette,davies_bouldin,calinski_harabasz,cluster_count,noise_ratio,trustworthiness,knn_preservation,eps,min_samples,min_cluster_size,linkage
kmeans,256,5.0,0.35739604,0.8019595604825038,231.25777,5,0.0,0.9388341180484476,0.6046666666666666,,,,
kmeans,256,10.0,0.3701857,0.7944788358329747,337.09454,10,0.0,0.9388341180484476,0.6046666666666666,,,,
kmeans,256,15.0,0.41811246,0.5887000026107976,465.00482,15,0.0,0.9388341180484476,0.6046666666666666,,,,
dbscan,256,,0.6384604,1.0144672155899304,418.41925,77,0.06,0.9388341180484476,0.6046666666666666,0.3,5.0,,
dbscan,256,,0.16028866,1.023613054065925,50.726112,33,0.452,0.9388341180484476,0.6046666666666666,0.3,10.0,,
dbscan,256,,0.6782905,0.8413768755533774,1297.7445,55,0.022,0.9388341180484476,0.6046666666666666,0.5,5.0,,
dbscan,256,,0.48758674,1.44099055229546,71.49901,39,0.184,0.9388341180484476,0.6046666666666666,0.5,10.0,,
dbscan,256,,0.63851833,0.5553081222258116,2042.3271,48,0.007,0.9388341180484476,0.6046666666666666,0.7,5.0,,
dbscan,256,,0.51190454,1.4361821557941354,104.45481,32,0.138,0.9388341180484476,0.6046666666666666,0.7,10.0,,
hdbscan,256,,0.53641313,1.44700682354927,102.56571,33,0.149,0.9388341180484476,0.6046666666666666,,,10.0,
hdbscan,256,,0.31403244,1.6451669351362082,56.97034,18,0.311,0.9388341180484476,0.6046666666666666,,,20.0,
hdbscan,256,,0.19022226,2.685303815515661,99.563995,2,0.403,0.9388341180484476,0.6046666666666666,,,50.0,
agglomerative,256,5.0,0.43315586,0.5905947791794602,293.01834,5,0.0,0.9388341180484476,0.6046666666666666,,,,ward
agglomerative,256,5.0,0.51832986,0.34753953235230783,102.97636,5,0.0,0.9388341180484476,0.6046666666666666,,,,average
agglomerative,256,10.0,0.38297758,0.6564218322439982,355.9883,10,0.0,0.9388341180484476,0.6046666666666666,,,,ward
agglomerative,256,10.0,0.5226901,0.39518097912220884,271.0504,10,0.0,0.9388341180484476,0.6046666666666666,,,,average
agglomerative,256,15.0,0.4651588,0.7113140056240734,466.3908,15,0.0,0.9388341180484476,0.6046666666666666,,,,ward
agglomerative,256,15.0,0.45807707,0.4368365734435031,258.84152,15,0.0,0.9388341180484476,0.6046666666666666,,,,average
kmeans,128,5.0,0.27951798,1.0653971615489506,146.36766,5,0.0,0.940986966905493,0.6085333333333333,,,,
kmeans,128,10.0,0.36890265,0.7285030306605805,234.49605,10,0.0,0.940986966905493,0.6085333333333333,,,,
kmeans,128,15.0,0.37634408,0.807715900622388,351.35315,15,0.0,0.940986966905493,0.6085333333333333,,,,
dbscan,128,,0.6308334,1.007142393551467,379.57336,78,0.081,0.940986966905493,0.6085333333333333,0.3,5.0,,
dbscan,128,,0.0801474,1.1027617320814498,38.824757,35,0.485,0.940986966905493,0.6085333333333333,0.3,10.0,,
