id,Name,processed_text,cluster_k10,cluster_k25,cluster_k50
1,Лампа комактна люмінісцентна 2G7 11W/840 DULUX S/Е Osram 4050300020181,лампа комактна люмінісцентна 2g7 11w 840 dulux s е osram 4050300020181,10,22,42
2,Клемна колодка в корпусі Аско ТВ 1504 A0130050002,клемна колодка в корпусі аско тв 1504 a0130050002,3,7,17
3,Лампа TV Osram Е14 25W T-25 синя,лампа tv osram е14 25w t 25 синя,10,22,41
4,Лампа для холодильника РП Іскра Е14 230B 15W S25 прозора,лампа для холодильника рп іскра е14 230b 15w s25 прозора,10,22,41
5,Лампа для духовки Osram SPC.T OVEN CL 15W 230V E14 прозора,лампа для духовки osram spc t oven cl 15w 230v e14 прозора,10,24,47
6,"Лампа LED E14 Lezard 30000h свіча 7,0W/2700 B35 N427-B35-1407",лампа led e14 lezard 30000h свіча 7 0w 2700 b35 n427 b35 1407,9,21,40
7,"Лампа LED E27 Feron 50000h шар 6,0W/2700 G45 LB-745 5028",лампа led e27 feron 50000h шар 6 0w 2700 g45 lb 745 5028,9,21,39
8,Перемикач DIN I-0-II 2-полюсний ETI SSQ 240 40А 002421425,перемикач din i 0 ii 2 полюсний eti ssq 240 40а 002421425,1,2,5
9,Коробка для 3-фазного електронного лічильника IP54 КДЕ-У (8 модулiв),коробка для 3 фазного електронного лічильника ip54 кде у 8 модулiв,4,9,21
10,Вимикач ножний E.Next e.fs.01 пластиковий p0810151,вимикач ножний e next e fs 01 пластиковий p0810151,1,2,3
11,"F конектор для кабелю RG-6, накрутний FF-1 D=6.6мм",f конектор для кабелю rg 6 накрутний ff 1 d 6 6мм,3,5,12
12,"Диференційне реле 4-полюсне Hager CD464J AC-63/0,03А",диференційне реле 4 полюсне hager cd464j ac 63 0 03а,3,4,9
13,Вилка 3п з ричагом Legrand 16А 50175 біла,вилка 3п з ричагом legrand 16а 50175 біла,2,3,6
14,Реле напруги 1-фазне в розетку ZUBR R116y 16А,реле напруги 1 фазне в розетку zubr r116y 16а,3,4,10
15,Перемикач DIN I-0-II 2-полюсний ETI SSQ 240 40А 002421425,перемикач din i 0 ii 2 полюсний eti ssq 240 40а 002421425,1,2,5
16,Вилка із заземлюючим контактом Legrand 50196 чорна,вилка із заземлюючим контактом legrand 50196 чорна,3,7,17
17,Вилка кабельна 400V IP44 Sez 5 полюсів 32А IVN3253,вилка кабельна 400v ip44 sez 5 полюсів 32а ivn3253,10,25,50
18,Контактор безшумний 230V Hager ESC225S 25A 2но,контактор безшумний 230v hager esc225s 25a 2но,10,25,48
19,Кріплення для труб APRO 25мм / уп.50 шт,кріплення для труб apro 25мм уп 50 шт,3,5,12
20,Вилка 380V каучукова IP44 Lezard 3P+N 32А 332-0100-0201 чорна,вилка 380v каучукова ip44 lezard 3p n 32а 332 0100 0201 чорна,10,25,50
21,Розетка 380V каучукова IP44 Lezard 3P+N 32А 332-0100-0203 чорна,розетка 380v каучукова ip44 lezard 3p n 32а 332 0100 0203 чорна,10,25,50
22,Перемикач I-0-II 230V 1-полюсний Hager SFT140 40А вихід зверху,перемикач i 0 ii 230v 1 полюсний hager sft140 40а вихід зверху,10,25,48
23,Перемикач I-0-II 230V 1-полюсний Hager SFB125 25А вихід знизу,перемикач i 0 ii 230v 1 полюсний hager sfb125 25а вихід знизу,10,25,48
24,Перемикач I-0-II 230V 2-полюсний Hager SFB216 16А вихід знизу (Перемикач вводу резерву),перемикач i 0 ii 230v 2 полюсний hager sfb216 16а вихід знизу перемикач вводу резерву,10,25,48
25,Перемикач I-0-II 230V 2-полюсний Hager SFB216 16А вихід знизу (Перемикач вводу резерву),перемикач i 0 ii 230v 2 полюсний hager sfb216 16а вихід знизу перемикач вводу резерву,10,25,48
26,Перемикач клавішний KCD1-5-101N GR/B круглий з підсвіткою зелений АСКО-УКРЕМ A0140040072,перемикач клавішний kcd1 5 101n gr b круглий з підсвіткою зелений аско укрем a0140040072,1,2,3
27,Перемикач DIN I-0-II 2-полюсний E.Next e.is3.pro.2.40 40А p008024,перемикач din i 0 ii 2 полюсний e next e is3 pro 2 40 40а p008024,1,2,5
28,Контактор 220V/АС3 ІЕК КМИ-11210 12А 1нв KKM11-012-230-10,контактор 220v ас3 іек кми 11210 12а 1нв kkm11 012 230 10,10,25,48
29,"Шина з'єднувальна E.Next e.bc.u.stand.2.63 вилочного U-типу 2р, 63А  s180002",шина з єднувальна e next e bc u stand 2 63 вилочного u типу 2р 63а s180002,3,6,16
30,Мікровимикач Аско Z-15GQ22-B A0050040001,мікровимикач аско z 15gq22 b a0050040001,5,11,26
31,Корпус щита розподільний зовнішній IP40 ETI DIDO-E ECT 12PO 1101006 біла дверка,корпус щита розподільний зовнішній ip40 eti dido e ect 12po 1101006 біла дверка,1,2,3
32,Контактор DIN AC УЕК КМ20-20М MKK11-20-20,контактор din ac уек км20 20м mkk11 20 20,3,8,18
33,Роз’єм модульний до РЭК78/3 УЕК РРМ78/3 RRP20D-RRM-3,роз єм модульний до рэк78 3 уек ррм78 3 rrp20d rrm 3,3,4,11
34,"Диференційне реле 2-полюсне Hager CD263J A-63/0,03А",диференційне реле 2 полюсне hager cd263j a 63 0 03а,3,4,9
35,Контактор 230V Hager ESC464 63A 4нз,контактор 230v hager esc464 63a 4нз,10,25,48
36,Перемикач I-0-II 230V 2-полюсний Hager SFB216 16А вихід знизу (Перемикач вводу резерву),перемикач i 0 ii 230v 2 полюсний hager sfb216 16а вихід знизу перемикач вводу резерву,10,25,48
37,Тримач клем QuickConnect Hager VZ707N до щитів Golf VF/VS 12 модулів,тримач клем quickconnect hager vz707n до щитів golf vf vs 12 модулів,6,13,30
