n_points,top_keywords,cluster_id
20,"['led', 'світильник', 'круглий', '4200k', 'ccel', 'вбудований', 'lezard', 'індикатор', '4209', '855lm']",1
92,"['автоматичний', 'вимикач', 'полюсний', '6ka', '5ка', 'hager', 'mva20', '29', 'ва47', '16a']",2
113,"['вітчизняний', 'наконечник', 'луджений', 'пластиковий', 'корпус', 'клавішний', 'уек', '10', 'мідний', 'диференційний']",3
24,"['stand', 'кабельний', 'mbox', 'металевий', 'діаметр', 'провідника', 'опліткою', 'замком', 'під', 'ввід']",4
81,"['лічильник', 'фазний', 'активної', 'енергії', '11', 'електронний', 'патрон', 'керамічний', 'nik', '60а']",5
37,"['wago', 'проводів', 'клема', 'кв', 'єднувальна', 'гнучких', 'важелем', 'мм', 'для', 'біла']",6
8,"['volta', 'pe', 'hager', 'клемами', 'щитів', 'ip30', 'тримач', '56', 'корпус', '48']",7
42,"['гільза', 'луджена', 'мідна', '50409', 'вимикачем', 'підсвіткою', 'та', 'legrand', 'провід', 'біла']",8
15,"['полюсне', 'диференційне', '03а', 'реле', '63', 'hager', 'cd263j', 'cf263j', '25', '3а']",9
4,"['екран', 'рж', 'finmark', 'rg', 'zubr', '64', 'кабель', 'реле', 'r116y', 'фазне']",10
22,"['rxj', 'es', 'намотування', 'пластикова', 's042201', '01', 'рамка', '8р8с', 'кабелю', 'модульна']",11
43,"['клем', 'блок', 'hager', 'pe', 'пробник', 'труб', 'для', 'викрутка', 'оп', 'tpr20']",12
5,"['makel', 'касета', 'timex', 'белая', 'углова', 'пласка', 'wt', 'mgp111', 'elektro', '2z']",13
10,"['ламп', 'галогенових', 'g4', 'патрон', 'до', 'stucchi', 'розгалужувач', 'спліттер', 'le', 'eltis']",14
14,"['термоусаджувальна', 'трубка', 'rc', 'radpol', '12']",15
24,"['шина', 'stand', 'відгалужень', 'pro', 'din', 'cbs', 'язка', 'spiral', '10м', 'спіральна']",16
19,"['клемна', 'колодка', 'смм', 'монтажна', 'тв', 'скоба', 'скат', 'аско', 'корпусі', 'металева']",17
9,"['струму', 'адаптер', 'індикатором', '50385', 'ø22мм', 'світлосигнальна', 'стандарт', 'арматура', 'va', 'американський']",18
7,"['рамка', 'регіна', 'asfora', 'слонова', 'алюміній', 'кістка', '13012118', 'біла', 'розетка', 'заземлюючим']",19
14,"['lezard', '0400', '106', 'каучукова', 'заземлюючим', 'контактом', 'із', 'силова', '715', 'чорна']",20
48,"['коробка', 'ip54', 'розподільна', 'eti', 'дверка', 'ip65', 'корпус', 'зовнішній', '85', 'фазного']",21
1,"['гвинтова', 'pa', 'бежева', '3901000', '24а', 'vs', 'клема', 'eti']",22
11,"['тумблер', 'аско', 'положення', 'alclr', 'mts', 'укрем', 'a0140060018', '203', '012', 'контактів']",23
17,"['зни', 'уек', 'зажим', 'наклейка', 'клемний', 'yzn10', '100', 'рейку', 'трикутна', '096']",24
2,"['apbb', 'здвоєна', 'неонова', 'пуск', 'k51', 'bbd11', '22n', 'зелена', '1нз', 'стоп']",25
