,agglomerative_d128_n_clusters-10_linkage-average,agglomerative_d128_n_clusters-10_linkage-ward,agglomerative_d128_n_clusters-15_linkage-average,agglomerative_d128_n_clusters-15_linkage-ward,agglomerative_d128_n_clusters-5_linkage-average,agglomerative_d128_n_clusters-5_linkage-ward,agglomerative_d16_n_clusters-10_linkage-average,agglomerative_d16_n_clusters-10_linkage-ward,agglomerative_d16_n_clusters-15_linkage-average,agglomerative_d16_n_clusters-15_linkage-ward,agglomerative_d16_n_clusters-5_linkage-average,agglomerative_d16_n_clusters-5_linkage-ward,agglomerative_d256_n_clusters-10_linkage-average,agglomerative_d256_n_clusters-10_linkage-ward,agglomerative_d256_n_clusters-15_linkage-average,agglomerative_d256_n_clusters-15_linkage-ward,agglomerative_d256_n_clusters-5_linkage-average,agglomerative_d256_n_clusters-5_linkage-ward,agglomerative_d2_n_clusters-10_linkage-average,agglomerative_d2_n_clusters-10_linkage-ward,agglomerative_d2_n_clusters-15_linkage-average,agglomerative_d2_n_clusters-15_linkage-ward,agglomerative_d2_n_clusters-5_linkage-average,agglomerative_d2_n_clusters-5_linkage-ward,agglomerative_d32_n_clusters-10_linkage-average,agglomerative_d32_n_clusters-10_linkage-ward,agglomerative_d32_n_clusters-15_linkage-average,agglomerative_d32_n_clusters-15_linkage-ward,agglomerative_d32_n_clusters-5_linkage-average,agglomerative_d32_n_clusters-5_linkage-ward,agglomerative_d4_n_clusters-10_linkage-average,agglomerative_d4_n_clusters-10_linkage-ward,agglomerative_d4_n_clusters-15_linkage-average,agglomerative_d4_n_clusters-15_linkage-ward,agglomerative_d4_n_clusters-5_linkage-average,agglomerative_d4_n_clusters-5_linkage-ward,agglomerative_d64_n_clusters-10_linkage-average,agglomerative_d64_n_clusters-10_linkage-ward,agglomerative_d64_n_clusters-15_linkage-average,agglomerative_d64_n_clusters-15_linkage-ward,agglomerative_d64_n_clusters-5_linkage-average,agglomerative_d64_n_clusters-5_linkage-ward,agglomerative_d8_n_clusters-10_linkage-average,agglomerative_d8_n_clusters-10_linkage-ward,agglomerative_d8_n_clusters-15_linkage-average,agglomerative_d8_n_clusters-15_linkage-ward,agglomerative_d8_n_clusters-5_linkage-average,agglomerative_d8_n_clusters-5_linkage-ward
agglomerative_d128_n_clusters-10_linkage-average,1.0,0.48586714919155316,0.9275016017821216,0.7642392837897003,0.940104544709552,0.3679803359898978,0.7564309134778142,0.42877511958962844,0.901949866199937,0.578982787445257,0.8787995201681842,0.3775034198803404,0.7245998053842837,0.5515282155026935,0.8679481415211747,0.561541080166293,0.9217505964784877,0.48769513700386813,0.4604135855340116,0.42052657841771734,0.5040182074940801,0.5456814176557898,0.5903544127983911,0.38493441328514016,0.7564309134778142,0.5136257834965752,0.9091092217985934,0.7239857710810268,0.9528390337190421,0.45034947767992134,0.46851328523570623,0.43593222850418895,0.7116189934742178,0.5780731507255987,0.6226109908445452,0.32168489026692115,0.868772385109656,0.5428991232814927,0.8366833446326396,0.6123351719595377,0.8988861337434599,0.38011538716375404,0.6932188196482526,0.43085067707942004,0.8207592213499666,0.5677797787315096,0.7528102797373563,0.384980093819607
agglomerative_d128_n_clusters-10_linkage-ward,0.48586714919155316,1.0,0.6882525348927718,0.8402892808166671,0.6657134832974586,0.7900552999328712,0.5869109591025483,0.6553766194215052,0.6227891794220761,0.7398785958761414,0.6847658132894813,0.6994602720426581,0.6647639615019884,0.7321549242124353,0.621741210696157,0.7626390798787658,0.8638183416477127,0.810214611048145,0.3729202469272309,0.5168313009606995,0.3642758988139128,0.5653976098970025,0.3257993430259106,0.5245442175651628,0.5869109591025483,0.7421696452377253,0.6502926762644398,0.8091372147020076,0.5933267730539059,0.7570832477958059,0.5373031041420957,0.5772421319573284,0.6488699760350999,0.6742554352505642,0.7022656098437496,0.46833720407133594,0.598837353744603,0.6903828267206589,0.8187871250670113,0.6916953001747005,0.5514362103049333,0.7312191283367251,0.5444223394780844,0.696425292687369,0.7033709501865572,0.759402778342071,0.6757104234778846,0.6342722106133779
agglomerative_d128_n_clusters-15_linkage-average,0.9275016017821216,0.6882525348927718,1.0,0.7128870188642228,0.8416405242612306,0.4843316069796185,0.8183937183986121,0.6195754292304267,0.757540607202619,0.5265385964996144,0.7466775440503277,0.7413741570336809,0.9060007945109095,0.7014916832813796,0.7542840115437468,0.587939461684989,0.8141178515147398,0.7993578278591857,0.5900678750743336,0.5387061599026723,0.44802192089561044,0.4492056339128502,0.712261860155767,0.46693658578118324,0.8183937183986121,0.6616589444899191,0.7982808202195122,0.6204727830235536,0.8178256383944523,0.5507884777347136,0.6605361043422395,0.4896804886492174,0.6486369127307129,0.5400124135809659,0.6990285934358564,0.44585076489854264,0.930592483502194,0.700857331123302,0.7261304905957481,0.6202555112895738,0.7942279995608957,0.47833413347200643,0.7544274306353267,0.6878500462018102,0.7224525582594592,0.5242501793918998,0.6436691469061608,0.5098982009762245
agglomerative_d128_n_clusters-15_linkage-ward,0.7642392837897003,0.8402892808166671,0.7128870188642228,1.0,0.8464977785782644,0.6740360178383462,0.8112892093738073,0.7436657708121418,0.6472705246165921,0.5985183021981965,0.6909985158737035,0.6603548115703245,0.7945040585794129,0.7862240253157344,0.6647219391884562,0.7564120502864533,0.797573547229119,0.7211260892661223,0.5659016003123352,0.6500684025995532,0.4157886767397947,0.5210137341730366,0.6649193665222295,0.6083117833144275,0.8112892093738073,0.7729855432640682,0.6969571925074274,0.699440889913248,0.7074521304488398,0.7086628359699456,0.6849112190751591,0.6583840828057788,0.6035790094872456,0.599801574035492,0.650374440698129,0.44494901035868584,0.76743083504014,0.8462200960066675,0.7396865243475784,0.7025229983868856,0.7737932408192323,0.6788366268148976,0.7715480425860844,0.7370286318885988,0.626652263980963,0.6447800607541124,0.6295294494112558,0.598726395854716
agglomerative_d128_n_clusters-5_linkage-average,0.940104544709552,0.6657134832974586,0.8416405242612306,0.8464977785782644,1.0,0.225310720869801,0.9224986256023838,0.382416274215012,0.8270655307026349,0.5292911313412447,0.45236642281532424,0.24857448798953302,0.844495791417361,0.6506121555490583,0.8107769615333392,0.6157156821043841,0.7742760940306984,0.2896547344810525,0.5563944175742125,0.4723653831882323,0.5282405165461157,0.5994686003375665,0.4087635488628372,0.2527004470499904,0.9224986256023838,0.5580464891261399,0.8166618647398783,0.7968918712152584,0.3567852741986474,0.13632576858178888,0.4650909525748398,0.596020073315856,0.6378976099625253,0.5261098465933529,0.3806761333856021,0.2936561084298869,0.9224986256023838,0.6404509911665912,0.8348366968732812,0.6082369861192978,0.7263741658509875,0.2655862794047609,0.8428409750737675,0.657456530943503,0.8270655307026349,0.6816412498421476,0.5459477075858576,0.22387435021714747
agglomerative_d128_n_clusters-5_linkage-ward,0.3679803359898978,0.7900552999328712,0.4843316069796185,0.6740360178383462,0.225310720869801,1.0,0.37331505090385336,0.6636533265988913,0.4290384342778627,0.5476465181115959,0.3327198789308564,0.3911124409306799,0.49253473186089397,0.5980842278614362,0.42284901319533785,0.5462216298836806,0.31728954393464726,0.4994342094771553,0.3908958166679654,0.5371243388909592,0.3474529362491962,0.4433420341747791,0.3053642176416066,0.4596250565231249,0.37331505090385336,0.619168286548337,0.40564625812997823,0.600311773119974,0.2826482561896379,0.5639332445378573,0.39765331372016394,0.6240554703667898,0.3729040417550114,0.5405882241937894,0.4787038668265967,0.3379520899597886,0.3931632214041978,0.6862490972122852,0.6732554961639929,0.6260654389920792,0.26271529687348055,0.6799717112086308,0.349153277829501,0.5927350890928811,0.47954222779586997,0.533616505004813,0.29438697080944004,0.5161566980259241
agglomerative_d16_n_clusters-10_linkage-average,0.7564309134778142,0.5869109591025483,0.8183937183986121,0.8112892093738073,0.9224986256023838,0.37331505090385336,1.0,0.6058876479379975,0.8977241323655185,0.7446416035821699,0.8607649320828037,0.590665845473108,0.8245053955354045,0.6224179846334389,0.852516446036355,0.6501296772665067,0.9026719272729584,0.7260416891942715,0.3878171456838476,0.37944346489526126,0.4653007969634119,0.49271860442883864,0.42925312191586673,0.2643199056947266,1.0,0.5832775740358983,0.9078644090779708,0.8868006929131764,0.9324830676552291,0.4649054260180489,0.6372642101579837,0.5544784659917535,0.790274126185836,0.7523645634605785,0.6093928020722252,0.35612777764788695,0.8880290778326098,0.6212776451777495,0.9064389337828203,0.7739082995964393,0.8697266450059015,0.3814862154288183,0.9366354378404471,0.5478769491093516,0.8990956425023329,0.7260258857546142,0.7274559904433768,0.4087508670825323
agglomerative_d16_n_clusters-10_linkage-ward,0.42877511958962844,0.6553766194215052,0.6195754292304267,0.7436657708121418,0.382416274215012,0.6636533265988913,0.6058876479379975,1.0,0.6997091391220444,0.8629736377195076,0.8113400482256636,0.7096814424412389,0.5606385104506465,0.6955617579664356,0.6443650818117628,0.7136758426046848,0.544006295398255,0.7816685505113037,0.32616279614615934,0.5223509195415905,0.3921388551354225,0.5173306696482056,0.39163383845157296,0.5630072846783652,0.6058876479379975,0.6126345563853125,0.6871751117220357,0.7902822846987061,0.5697160402314403,0.7214659141128664,0.613926296764477,0.6020521319608989,0.6718879271108003,0.7845950055163156,0.7054588558231994,0.48161707067177717,0.5016087618686622,0.6497035533999279,0.8783974698869838,0.7935745699104508,0.4146543242780333,0.6374766248873401,0.6020530661559217,0.6804805798641717,0.7321625379040363,0.7493866207789018,0.6152234975414418,0.6589735947737425
agglomerative_d16_n_clusters-15_linkage-average,0.901949866199937,0.6227891794220761,0.757540607202619,0.6472705246165921,0.8270655307026349,0.4290384342778627,0.8977241323655185,0.6997091391220444,1.0,0.575152962441315,0.7104337619689003,0.7525563765499129,0.9108631923093679,0.6811034292620863,0.842989904256681,0.52540120019153,0.7946820625579019,0.7698014144596328,0.5360838600534055,0.4931101378488007,0.4561943648255298,0.4258265644754111,0.7504809772891761,0.5209475925032347,0.8977241323655185,0.6434292175762132,0.797419508743259,0.6530604908883567,0.780754742171214,0.5775692303976644,0.7610703644284839,0.6086417522328456,0.7973121159909071,0.5785430436078307,0.72361352708233,0.4844381091147033,0.9012190146713156,0.6730203454644114,0.7471471437178924,0.6034789801419381,0.7714900217535334,0.4939312020048753,0.8703659128912061,0.5998052193575685,0.8899955451521936,0.5434671383958608,0.6772903128628618,0.5458470982115341
agglomerative_d16_n_clusters-15_linkage-ward,0.578982787445257,0.7398785958761414,0.5265385964996144,0.5985183021981965,0.5292911313412447,0.5476465181115959,0.7446416035821699,0.8629736377195076,0.575152962441315,1.0,0.6963574564250032,0.6410029431591348,0.6964115939663479,0.7561517127002247,0.5300302819456328,0.7336046180591557,0.7068312580076419,0.6741832668381179,0.47571568565772465,0.5751638904606875,0.4243555043468076,0.5795760413164432,0.42709304979434337,0.49838621007745576,0.7446416035821699,0.791358361813181,0.6635699309034889,0.7877536398487707,0.7648697406284841,0.658602377607058,0.7570644709795584,0.6497206546659925,0.6906819616529339,0.7469904807032371,0.6334796299814067,0.4159613935517646,0.6505109699740912,0.6762742440632118,0.7052140123325257,0.6200927294809586,0.4807278357587742,0.5381152362048574,0.6945903588583754,0.7190054881272293,0.5895746831839169,0.824483275606635,0.6127226540026632,0.5523946737107532
