,dbscan_d128_eps-0.3_min_samples-10,dbscan_d128_eps-0.3_min_samples-5,dbscan_d128_eps-0.5_min_samples-10,dbscan_d128_eps-0.5_min_samples-5,dbscan_d128_eps-0.7_min_samples-10,dbscan_d128_eps-0.7_min_samples-5,dbscan_d16_eps-0.3_min_samples-10,dbscan_d16_eps-0.3_min_samples-5,dbscan_d16_eps-0.5_min_samples-10,dbscan_d16_eps-0.5_min_samples-5,dbscan_d16_eps-0.7_min_samples-10,dbscan_d16_eps-0.7_min_samples-5,dbscan_d256_eps-0.3_min_samples-10,dbscan_d256_eps-0.3_min_samples-5,dbscan_d256_eps-0.5_min_samples-10,dbscan_d256_eps-0.5_min_samples-5,dbscan_d256_eps-0.7_min_samples-10,dbscan_d256_eps-0.7_min_samples-5,dbscan_d2_eps-0.3_min_samples-10,dbscan_d2_eps-0.3_min_samples-5,dbscan_d2_eps-0.5_min_samples-10,dbscan_d2_eps-0.5_min_samples-5,dbscan_d2_eps-0.7_min_samples-10,dbscan_d2_eps-0.7_min_samples-5,dbscan_d32_eps-0.3_min_samples-10,dbscan_d32_eps-0.3_min_samples-5,dbscan_d32_eps-0.5_min_samples-10,dbscan_d32_eps-0.5_min_samples-5,dbscan_d32_eps-0.7_min_samples-10,dbscan_d32_eps-0.7_min_samples-5,dbscan_d4_eps-0.3_min_samples-10,dbscan_d4_eps-0.3_min_samples-5,dbscan_d4_eps-0.5_min_samples-10,dbscan_d4_eps-0.5_min_samples-5,dbscan_d4_eps-0.7_min_samples-10,dbscan_d4_eps-0.7_min_samples-5,dbscan_d64_eps-0.3_min_samples-10,dbscan_d64_eps-0.3_min_samples-5,dbscan_d64_eps-0.5_min_samples-10,dbscan_d64_eps-0.5_min_samples-5,dbscan_d64_eps-0.7_min_samples-10,dbscan_d64_eps-0.7_min_samples-5,dbscan_d8_eps-0.3_min_samples-10,dbscan_d8_eps-0.3_min_samples-5,dbscan_d8_eps-0.5_min_samples-10,dbscan_d8_eps-0.5_min_samples-5,dbscan_d8_eps-0.7_min_samples-10,dbscan_d8_eps-0.7_min_samples-5
dbscan_d128_eps-0.3_min_samples-10,1.0,0.7937145835996089,0.6658810719554973,0.6357479619210947,0.6023221842017247,0.5379938561108321,0.8323822106252511,0.6952107917450088,0.6503821389715021,0.5862272469083716,0.5818773035384226,0.4555743174181564,0.8038453204087666,0.6534008566118963,0.6674149013637257,0.6005644457656403,0.611992683598402,0.5393499119492361,0.7748217343453321,0.7167701477991518,0.5791412697898232,0.5169555757487154,0.5497597938304586,0.4439553450974225,0.8240322484000463,0.748787539760872,0.651524851283533,0.5972047037759461,0.6069184923200847,0.5511787925492592,0.8556147801918915,0.7287302430935241,0.645150142535523,0.5993975907505728,0.601554949200472,0.5181814301792784,0.8376175615875582,0.7330753496779909,0.7040610916561618,0.6504794877192629,0.5768231171146203,0.5305007918090048,0.8183510017079336,0.7232027961556948,0.6491062653407604,0.6144329476448358,0.6119314793429248,0.473697618283582
dbscan_d128_eps-0.3_min_samples-5,0.7937145835996089,1.0,0.7828700951913173,0.8391853850997893,0.7298112190311374,0.7875247990739116,0.8404412834897675,0.9141990207306371,0.801463739254951,0.83277912917892,0.6659526239638374,0.7792927705631407,0.8313513731014539,0.877814541959731,0.7640494180210895,0.7945483836354197,0.7049788255068994,0.7899819893475236,0.8339537267324217,0.8563207363363435,0.7317040263966244,0.784077087138839,0.6333136168795854,0.7209797685309361,0.8014010264433196,0.8762408545610021,0.7981634898435416,0.8346438467368112,0.6988695222424499,0.796163464619871,0.8521589603326043,0.8614903008611242,0.7728064375770923,0.8086775030864106,0.7034525356755084,0.7668983585890097,0.8176359695795615,0.8775394067869379,0.7846207087227718,0.813388331614444,0.689613126195864,0.7674187510700922,0.8055785548463923,0.892900984494969,0.8204224418006103,0.8511760642565851,0.6977747073312456,0.7722492840742785
dbscan_d128_eps-0.5_min_samples-10,0.6658810719554973,0.7828700951913173,1.0,0.8937988569046503,0.8494291209139672,0.6636626234473468,0.6995687274092198,0.7969663214527799,0.8141344147574417,0.7163716614898158,0.7838387613352316,0.5819895658336783,0.7420373044101418,0.7876126486524665,0.832827616209136,0.7670217544589361,0.8248446221883888,0.6796593911284535,0.7480871240209096,0.7597801152840035,0.7267572079960907,0.648457216952906,0.7638614060195225,0.568554093371525,0.6805059761454377,0.7805129170646241,0.8502535581643322,0.7198770950067903,0.7931611120361785,0.6593895951515433,0.699814935317588,0.7552371472165088,0.8415774022020905,0.7690672184637254,0.81335940541384,0.5987786041777597,0.7301541770339681,0.7855454521539941,0.8525501529765789,0.7937220860802537,0.8246543405788997,0.6578223131478108,0.687819412602222,0.7750483553900116,0.8145678628352381,0.7466906172012506,0.8430870702186707,0.5591717600669255
dbscan_d128_eps-0.5_min_samples-5,0.6357479619210947,0.8391853850997893,0.8937988569046503,1.0,0.8880383797387067,0.905863288488935,0.6603558416259877,0.8513818563761137,0.8194589771229089,0.8210815944054759,0.8022332426702813,0.8140084728566668,0.7322938577168168,0.8480585487934987,0.8465236709241085,0.8765743685064395,0.8544811601749904,0.9040883863372734,0.7025555928341835,0.83244667359003,0.7471852169196992,0.7782538794295074,0.7269882189107024,0.7934997324626075,0.6396741962377019,0.8321957721393324,0.8418338323155143,0.8308785471138133,0.8268594187099078,0.8447738249802708,0.6722390176149221,0.8156105244037801,0.794022916957452,0.8778907310394987,0.8404008571695836,0.8670912410048462,0.6823057503405991,0.8329722601463773,0.8272035781990716,0.8773550457202269,0.8201777274518013,0.8622837734037223,0.6630315107781337,0.8334275744626948,0.7732964312127181,0.8554522140568509,0.8162367138264515,0.8260707096286289
dbscan_d128_eps-0.7_min_samples-10,0.6023221842017247,0.7298112190311374,0.8494291209139672,0.8880383797387067,1.0,0.833109885226464,0.673185223379449,0.733564221825996,0.8196159534811649,0.783878466980144,0.9045853225240781,0.7244139926268566,0.7189326915719969,0.7433388932398016,0.8595923877983054,0.8524541591952652,0.9411819815637524,0.8132734296600077,0.7015718519837012,0.7243249592874527,0.7555103642196519,0.715169469837531,0.7749212946294416,0.6221449136188787,0.6439220553062628,0.717594983401664,0.8311356870383356,0.8285235982832564,0.9147591439591969,0.7946194846601827,0.6284672201633494,0.6934109914332236,0.845085272522348,0.808567819043018,0.9126275586315331,0.7251289186115111,0.696413969334559,0.7398918275693628,0.8649082516767498,0.8223501712378518,0.8924866192125882,0.772173769579602,0.6286326172760434,0.7270842204533691,0.7672080538743796,0.8077508353602655,0.9151104054520515,0.6737155054479662
dbscan_d128_eps-0.7_min_samples-5,0.5379938561108321,0.7875247990739116,0.6636626234473468,0.905863288488935,0.833109885226464,1.0,0.5207616053572988,0.8095514821090212,0.6586459206516772,0.8915241199276308,0.8379751074514586,0.8529979330430894,0.6180957708870425,0.8094973653270666,0.683241039006405,0.8886423928201922,0.8701411731093376,0.8734230758924099,0.5539755573284605,0.7898116657239064,0.7441457444684519,0.8230747468444536,0.7649262670376769,0.8316299598870133,0.5428224609195773,0.789844645823942,0.7001552960708405,0.8922447450186609,0.8403590236144753,0.8262875175244682,0.5445472361353185,0.7802523242761056,0.6416676449631356,0.8971816524350072,0.8438548938021646,0.9250784818231983,0.5453190033027606,0.8056007578100786,0.6467242234688655,0.869124526847403,0.7970141123922125,0.9311761895871483,0.5395652580766858,0.8025341986610401,0.6509192106387153,0.8717238911217996,0.7518128076298907,0.8811471613601133
dbscan_d16_eps-0.3_min_samples-10,0.8323822106252511,0.8404412834897675,0.6995687274092198,0.6603558416259877,0.673185223379449,0.5207616053572988,1.0,0.8010616755366466,0.7532206853379243,0.6360104260661201,0.6757132601631988,0.4627010818422376,0.8958507490316028,0.7541654759810182,0.712440095334034,0.6209482291002055,0.6806888578073393,0.525877886359625,0.8327541384430116,0.7871198501443775,0.6470784736883316,0.5062192621674428,0.6177532193290665,0.46196692304127285,0.8593404933101676,0.7774124124758562,0.7382844801048721,0.5997407197994286,0.6736898003353774,0.5313831256887206,0.86788804047792,0.80673763910169,0.6905397149032384,0.5963200585329856,0.6729768286837625,0.48920642057463076,0.8112289231984315,0.7876378990731047,0.7083935691179525,0.6735351313480515,0.6459174653147508,0.5150443138482785,0.902315319395981,0.7848979576536721,0.73446411050298,0.6629433371547242,0.6686683371095297,0.47599953865208866
dbscan_d16_eps-0.3_min_samples-5,0.6952107917450088,0.9141990207306371,0.7969663214527799,0.8513818563761137,0.733564221825996,0.8095514821090212,0.8010616755366466,1.0,0.8082465080568926,0.8633173462556816,0.6765439231072221,0.7965328444859725,0.8159427451446626,0.9240118831496226,0.7880311773093471,0.8378975778191747,0.716132871375395,0.8078008095793289,0.8192352270202132,0.8861097530570963,0.7513585229729727,0.7850395775474704,0.6397129922225971,0.7266076266635335,0.741031324834156,0.9012837840823004,0.8152390778985634,0.8653608112600036,0.7102829165732892,0.7940892586963463,0.803916048393449,0.9115289978081598,0.7893292007143535,0.8482240562019526,0.7180164486959608,0.7879610013071456,0.7779711880338229,0.8931015329980007,0.7923985893254575,0.8218173834217243,0.6847318525790022,0.7819447295205445,0.7338247170977296,0.9069068998347619,0.8251832355662347,0.8508721403142331,0.689574648278396,0.778579054595371
dbscan_d16_eps-0.5_min_samples-10,0.6503821389715021,0.801463739254951,0.8141344147574417,0.8194589771229089,0.8196159534811649,0.6586459206516772,0.7532206853379243,0.8082465080568926,1.0,0.8303739214184838,0.829034185883139,0.5865067440064844,0.7786663005761301,0.8176233851544672,0.8587306020408934,0.7944172432926349,0.8466671303163373,0.6814393774068941,0.7949442872981345,0.8167608799056533,0.7450160310755731,0.6518385270936115,0.7128952572936574,0.5300096194742739,0.6762926172667004,0.8021823196455399,0.8840076496338414,0.745394171725327,0.8365847399892651,0.6921666079779575,0.674497535070959,0.7848551413183752,0.9210717093797046,0.8032596600296071,0.8324932534233125,0.6179418605678988,0.6913185994931685,0.8123299680593309,0.841277669147585,0.8166960799385976,0.7866131261730797,0.6486277694450034,0.6692474828512356,0.8015454169597175,0.8683226747586804,0.8458935472039844,0.7906127793356111,0.570736920928089
dbscan_d16_eps-0.5_min_samples-5,0.5862272469083716,0.83277912917892,0.7163716614898158,0.8210815944054759,0.783878466980144,0.8915241199276308,0.6360104260661201,0.8633173462556816,0.8303739214184838,1.0,0.7942482406641568,0.9052885993920866,0.6792237701838565,0.8734975690899186,0.7386424111103554,0.8329314933865708,0.8234873363507661,0.8682009472176219,0.6805727321481095,0.8647336693125648,0.8014508969276636,0.8580454826977209,0.7561995841439154,0.8155161820255002,0.6088156726450091,0.8583419391370588,0.7559131286935644,0.8808108073546772,0.8217641858086774,0.8702394359508713,0.6030683431011314,0.8545090972921352,0.7384722949970774,0.8638895965533371,0.7919527971065609,0.8678262279663924,0.5894688967225619,0.8567230087831793,0.7216003362905029,0.8253918053618399,0.786111824547155,0.8691542301198307,0.5897167976063903,0.8610434160261126,0.7807513531134415,0.8507692145925283,0.7531539076197653,0.8442641390386387
