,hdbscan_d128_min_cluster_size-10,hdbscan_d128_min_cluster_size-20,hdbscan_d128_min_cluster_size-50,hdbscan_d16_min_cluster_size-10,hdbscan_d16_min_cluster_size-20,hdbscan_d16_min_cluster_size-50,hdbscan_d256_min_cluster_size-10,hdbscan_d256_min_cluster_size-20,hdbscan_d256_min_cluster_size-50,hdbscan_d2_min_cluster_size-10,hdbscan_d2_min_cluster_size-20,hdbscan_d2_min_cluster_size-50,hdbscan_d32_min_cluster_size-10,hdbscan_d32_min_cluster_size-20,hdbscan_d32_min_cluster_size-50,hdbscan_d4_min_cluster_size-10,hdbscan_d4_min_cluster_size-20,hdbscan_d4_min_cluster_size-50,hdbscan_d64_min_cluster_size-10,hdbscan_d64_min_cluster_size-20,hdbscan_d64_min_cluster_size-50,hdbscan_d8_min_cluster_size-10,hdbscan_d8_min_cluster_size-20,hdbscan_d8_min_cluster_size-50
hdbscan_d128_min_cluster_size-10,1.0,0.8247551588231458,0.15990053726670783,0.8156124768520359,0.7092286466280996,0.17190448091178992,0.8730330718832727,0.8284480071306758,0.11180339887498948,0.8204912959499062,0.710516031614539,0.17190448091178992,0.8104273888961432,0.759009448897229,0.10660035817780521,0.8339169146529963,0.49992076462828516,0.13161333271052092,0.8131489356545775,0.7275527598241119,0.24204696759445707,0.8195925635950155,0.7451259175994643,0.1718693893200657
hdbscan_d128_min_cluster_size-20,0.8247551588231458,1.0,0.25859308142854953,0.778560658387625,0.7863526400266988,0.24177484162422844,0.8074235880107007,0.8254726272936224,0.2750242185392602,0.7402452664550285,0.7905974323520039,0.24177484162422844,0.7689962975944492,0.8441150308068469,0.2546599523582359,0.7182423284239211,0.5485332793498425,0.1648887223940012,0.7418966738604595,0.8084963405946903,0.35262091523579614,0.7350993322424226,0.7193866998267727,0.20840813638292566
hdbscan_d128_min_cluster_size-50,0.15990053726670783,0.25859308142854953,1.0,0.10660035817780521,0.4643883465398459,0.5554626916539348,0.15075567228888181,0.26536474887322553,0.8506951865163004,0.14098980538332306,0.3144697578407187,0.5554626916539348,0.14301938838683886,0.6508726030021272,0.7949131128046143,0.09534625892455924,0.6383656473113981,0.5554626916539348,0.15124795836205399,0.2345228094876548,0.6267537694284724,0.15989598136134953,0.37618853406662256,0.5554626916539348
hdbscan_d16_min_cluster_size-10,0.8156124768520359,0.778560658387625,0.10660035817780521,1.0,0.7344287922824803,0.09284313680833742,0.8715132163103148,0.7389739733322369,0.11180339887498948,0.7558704663012411,0.6886461491233479,0.09284313680833742,0.8164082672772441,0.6815634443955012,0.10660035817780521,0.8426445256960498,0.4933269302222428,0.09284313680833742,0.7965365320315501,0.6959074069978399,0.23497887337062948,0.7509208283368323,0.6980775019251941,0.09128709291752768
hdbscan_d16_min_cluster_size-20,0.7092286466280996,0.7863526400266988,0.4643883465398459,0.7344287922824803,1.0,0.2739665535277557,0.7086671830048885,0.8130121344545705,0.48753694092740085,0.710081425566797,0.8244867635555865,0.2739665535277557,0.6991072540257324,0.6498309703340377,0.4601400816001672,0.6335104582488897,0.6290659945860563,0.18264436901850378,0.6714737371508896,0.8345411416015953,0.5150737138462276,0.7151949224835173,0.9180489162747497,0.2111405383693114
hdbscan_d16_min_cluster_size-50,0.17190448091178992,0.24177484162422844,0.5554626916539348,0.09284313680833742,0.2739665535277557,1.0,0.09284313680833742,0.24587344460380706,0.484085530412819,0.1764673378090465,0.28100159840889416,0.9583333333333333,0.09648558176252833,0.4538080215897726,0.6247528475699105,0.09455045029690734,0.65524631445082,0.7878787878787878,0.1305582419667734,0.170663028978558,0.38484547194604046,0.16780587793221133,0.389547204419219,0.7462121212121212
hdbscan_d256_min_cluster_size-10,0.8730330718832727,0.8074235880107007,0.15075567228888181,0.8715132163103148,0.7086671830048885,0.09284313680833742,1.0,0.846127900395114,0.15,0.8049492615890228,0.7087646478671513,0.09284313680833742,0.8250703786128674,0.7457552195957327,0.14301938838683884,0.833830920567214,0.48395782514407515,0.09284313680833742,0.8454488960811477,0.7514362659795533,0.24235247458157858,0.7644148672790072,0.731343520955983,0.09622504486493763
hdbscan_d256_min_cluster_size-20,0.8284480071306758,0.8254726272936224,0.26536474887322553,0.7389739733322369,0.8130121344545705,0.24587344460380706,0.846127900395114,1.0,0.278799230699993,0.7092953138688602,0.7637565885632972,0.24587344460380706,0.7324642032226275,0.7904299930610463,0.2611164839335468,0.6946807396564192,0.55557989418851,0.16064637330508158,0.7240679659618793,0.7573285930700051,0.32330765469977785,0.7084745387695751,0.7638988269815603,0.17680734126747566
hdbscan_d256_min_cluster_size-50,0.11180339887498948,0.2750242185392602,0.8506951865163004,0.11180339887498948,0.48753694092740085,0.484085530412819,0.15,0.278799230699993,1.0,0.1,0.33037561593786846,0.484085530412819,0.1,0.6320497994784198,0.7357270323396421,0.1,0.6189323936863109,0.484085530412819,0.15892556509887898,0.2831425505533233,0.706408263273131,0.16804138174397718,0.395032197198536,0.484085530412819
hdbscan_d2_min_cluster_size-10,0.8204912959499062,0.7402452664550285,0.14098980538332306,0.7558704663012411,0.710081425566797,0.1764673378090465,0.8049492615890228,0.7092953138688602,0.1,1.0,0.7283876538739876,0.1764673378090465,0.8031636077499529,0.6571444328257932,0.15011977216672967,0.7886275663419193,0.5012750981172204,0.13465523730869197,0.7938778592154594,0.7168077125488136,0.2054128656720302,0.8031616095213221,0.7050366578778754,0.17491129391823676
