,kmeans_d128_n_clusters-10,kmeans_d128_n_clusters-15,kmeans_d128_n_clusters-5,kmeans_d16_n_clusters-10,kmeans_d16_n_clusters-15,kmeans_d16_n_clusters-5,kmeans_d256_n_clusters-10,kmeans_d256_n_clusters-15,kmeans_d256_n_clusters-5,kmeans_d2_n_clusters-10,kmeans_d2_n_clusters-15,kmeans_d2_n_clusters-5,kmeans_d32_n_clusters-10,kmeans_d32_n_clusters-15,kmeans_d32_n_clusters-5,kmeans_d4_n_clusters-10,kmeans_d4_n_clusters-15,kmeans_d4_n_clusters-5,kmeans_d64_n_clusters-10,kmeans_d64_n_clusters-15,kmeans_d64_n_clusters-5,kmeans_d8_n_clusters-10,kmeans_d8_n_clusters-15,kmeans_d8_n_clusters-5
kmeans_d128_n_clusters-10,1.0,0.763983268323567,0.7527379142415555,0.6756902115721435,0.6876653251616134,0.47037549976362836,0.5149304386109956,0.7553052824767204,0.6500398434429304,0.5841531011911367,0.5109866094866415,0.5788539561310679,0.6029453550713859,0.7862631994833619,0.5434673312592645,0.550016471683608,0.6420235602012878,0.5458869744286579,0.6097712522786043,0.6571645905850556,0.5458911804157921,0.630042586182517,0.7196014091041512,0.742447857581328
kmeans_d128_n_clusters-15,0.763983268323567,1.0,0.5815392564354218,0.6720866693513237,0.6397603397275585,0.5655233424204155,0.6364170434845089,0.7707529264971068,0.587832970182864,0.5902172164642592,0.5107670905225992,0.4418105864546799,0.7250258812678522,0.6527286249087934,0.6006632918507331,0.6474736558921768,0.6853502426106105,0.46471103871972597,0.6838080630569684,0.7532858549982243,0.44747385631884107,0.6032980038137298,0.6040329366090782,0.6082603274947431
kmeans_d128_n_clusters-5,0.7527379142415555,0.5815392564354218,1.0,0.6150161524982332,0.6003390189021531,0.37595659538066295,0.33300815055504723,0.5129560904425525,0.4593299519500766,0.570316240763795,0.4186745335319789,0.2962606748273561,0.49150408648013866,0.5284735741406584,0.3200170462191494,0.47470975406683014,0.45388993364328656,0.3777275905573919,0.7486954855937143,0.5739450251884128,0.19399695832406963,0.48175232173120897,0.46981111254208674,0.41702935598030305
kmeans_d16_n_clusters-10,0.6756902115721435,0.6720866693513237,0.6150161524982332,1.0,0.8570687610622463,0.6441136968364566,0.7032232438180522,0.7626402331303499,0.6606498664210916,0.7003229550354229,0.602741421812321,0.5405497614970415,0.6960411215106139,0.8070411057839119,0.5190512352559056,0.5858020760507484,0.7614645673422114,0.5658213369874641,0.682342495195591,0.6623960885974983,0.7580871638718119,0.8171951103238959,0.8254068933006785,0.7757506665153402
kmeans_d16_n_clusters-15,0.6876653251616134,0.6397603397275585,0.6003390189021531,0.8570687610622463,1.0,0.608472490602065,0.7734487729367718,0.6986706589657695,0.6324225818949882,0.6836914684088259,0.5808623860918282,0.49723351098178237,0.6694258945693928,0.6997674592578029,0.6870482298322532,0.7007773538853044,0.6957917956024168,0.6324680043086084,0.6330307551056839,0.6189408252116777,0.7075641395393703,0.8165723947456035,0.7353739145229626,0.6257221233678223
kmeans_d16_n_clusters-5,0.47037549976362836,0.5655233424204155,0.37595659538066295,0.6441136968364566,0.608472490602065,1.0,0.6400895306501204,0.5778993705477815,0.5351799256451365,0.49722311602595115,0.512267949016206,0.4051072841749557,0.554337821052622,0.5507892444007105,0.3164326239738024,0.537962617811147,0.5829173405899418,0.2974232022479059,0.656371771832551,0.6287151415801713,0.42914785306415704,0.5423780581775435,0.5794263076044854,0.3170879512871593
kmeans_d256_n_clusters-10,0.5149304386109956,0.6364170434845089,0.33300815055504723,0.7032232438180522,0.7734487729367718,0.6400895306501204,1.0,0.8503780832041496,0.7870919569815471,0.5450666892316696,0.6064761173408073,0.5542790736516634,0.5944951396025769,0.6886296249755323,0.43478854294255687,0.547623376808023,0.7429283821812624,0.4906965844227461,0.5685180554358499,0.5865604522439947,0.7598963022465174,0.6817048582642602,0.7582139635185761,0.5368831757753024
kmeans_d256_n_clusters-15,0.7553052824767204,0.7707529264971068,0.5129560904425525,0.7626402331303499,0.6986706589657695,0.5778993705477815,0.8503780832041496,1.0,0.6638254615302934,0.6245080457573678,0.5756289909249975,0.49004139655240253,0.720580790261544,0.7127160521510753,0.6034353847015343,0.6994026211556068,0.7256820972749723,0.5329333461489634,0.7442377348899415,0.7145931397078751,0.6451938881534298,0.7322654574641616,0.6804110828116875,0.5904016759742684
kmeans_d256_n_clusters-5,0.6500398434429304,0.587832970182864,0.4593299519500766,0.6606498664210916,0.6324225818949882,0.5351799256451365,0.7870919569815471,0.6638254615302934,1.0,0.5926742827379539,0.5119952612077292,0.4607325687724272,0.4936522992720622,0.5948796730813796,0.28060129257292177,0.6942620534163788,0.6315994200901074,0.32396996018081775,0.5694813279162243,0.5844366825802491,0.40686067233433415,0.6457215209319105,0.5862100706271762,0.4289571946267161
kmeans_d2_n_clusters-10,0.5841531011911367,0.5902172164642592,0.570316240763795,0.7003229550354229,0.6836914684088259,0.49722311602595115,0.5450666892316696,0.6245080457573678,0.5926742827379539,1.0,0.7064293087865572,0.710770013085354,0.5722456129006959,0.6340756902667221,0.5860574709022689,0.519631716738101,0.6341071989292838,0.5186065201661629,0.5111243624821539,0.5608126626992449,0.5486948493428623,0.7346247459371391,0.6933358015582712,0.6673290425211988
